Celestial Blue	#4997D0
Cerise	#DE3163
Cerise Pink	#EC3B83
Cerulean	#007BA7
Cerulean Blue	#2A52BE
Cerulean Frost	#6D9BC3
CG Blue	#007AA5
CG Red	#E03C31
Chamoisee	#A0785A
Champagne	#F7E7CE
Champagne Pink	#F1DDCF
Charcoal	#36454F
Charleston Green	#232B2B
Charm	#D0748B
Charm Pink	#E68FAC
Chartreuse (Traditional)	#DFFF00
Chartreuse (Web)	#7FFF00
Cheese	#FFA600
Cherry	#DE3163
Cherry Blossom Pink	#FFB7C5
Chestnut	#954535
China Pink	#DE6FA1
China Rose	#A8516E
Chinese Black	#141414
Chinese Blue	#365194
Chinese Bronze	#CD8032
Chinese Brown	#AB381F
Chinese Green	#D0DB61
Chinese Gold	#CC9900
Chinese Orange	#F37042
Chinese Pink	#DE70A1
Chinese Purple	#720B98
Chinese Red	#CD071E
Chinese Red	#AA381E
Chinese Silver	#CCCCCC
Chinese Violet	#856088
Chinese White	#E2E5DE
Chinese Yellow	#FFB200
Chlorophyll Green	#4AFF00
Chocolate Kisses	#3C1421
Chocolate (Traditional)	#7B3F00
Chocolate (Web)	#D2691E
Christmas Blue	#2A8FBD
Christmas Blue	#365194
Christmas Brown	#5D2B2C
Christmas Brown	#4C1F02
Christmas Green	#3C8D0D
Christmas Green	#007502
Christmas Gold	#CAA906
Christmas Orange	#FF6600
Christmas Orange	#D56C2B
Christmas Pink	#FFCCCB
Christmas Pink	#E34285
Christmas Purple	#663398
Christmas Purple	#4D084B
Christmas Red	#AA0114
Christmas Red	#B01B2E
Christmas Silver	#E1DFE0
Christmas Yellow	#FFCC00
Christmas Yellow	#FEF200
Chrome Yellow	#FFA700
Cinereous	#98817B
Cinnabar	#E34234
Cinnamon[Citation Needed]	#D2691E
Cinnamon Satin	#CD607E
Citrine	#E4D00A
Citrine Brown	#933709
Citron	#9FA91F
Claret	#7F1734
Classic Rose	#FBCCE7
Cobalt Blue	#0047AB
Cocoa Brown	#D2691E
Coconut	#965A3E
Coffee	#6F4E37
Cola	#3C3024
Columbia Blue	#C4D8E2
Conditioner	#FFFFCC
Congo Pink	#F88379
Cool Black	#002E63
Cool Grey	#8C92AC
Cookies And Cream	#EEE0B1
Copper	#B87333
Copper (Crayola)	#DA8A67
Copper Penny	#AD6F69
Copper Red	#CB6D51
Copper Rose	#996666
Coquelicot	#FF3800
Coral	#FF7F50
Coral Pink	#F88379
Coral Red	#FF4040
Coral Reef	#FD7C6E
Cordovan	#893F45
Corn	#FBEC5D
Cornell Red	#B31B1B
Cornflower Blue	#6495ED
Cornsilk	#FFF8DC
Cosmic Cobalt	#2E2D88
Cosmic Latte	#FFF8E7
Coyote Brown	#81613C
Cotton Candy	#FFBCD9
Cream	#FFFDD0
Crimson	#DC143C
Crimson Glory	#BE0032
Crimson Red	#990000
Cultured	#F5F5F5
Cyan	#00FFFF
Cyan Azure	#4E82B4
Cyan-Blue Azure	#4682BF
Cyan Cobalt Blue	#28589C
Cyan Cornflower Blue	#188BC2
Cyan (Process)	#00B7EB
Cyber Grape	#58427C
Cyber Yellow	#FFD300
Cyclamen	#F56FA1
Daffodil	#FFFF31
Dandelion	#F0E130
Dark Blue	#00008B
Dark Blue-Gray	#666699
Dark Bronze	#804A00
Dark Brown	#654321
Dark Brown-Tangelo	#88654E
Dark Byzantium	#5D3954
Dark Candy Apple Red	#A40000
Dark Cerulean	#08457E
Dark Charcoal	#333333
Dark Chestnut	#986960
Dark Chocolate	#490206
Dark Chocolate (Hershey's)	#3C1321
Dark Cornflower Blue	#26428B
Dark Coral	#CD5B45
Dark Cyan	#008B8B
Dark Electric Blue	#536878
Dark Goldenrod	#B8860B
Dark Gray (X11)	#A9A9A9
Dark Green	#013220
Dark Green (X11)	#006400
Dark Gunmetal	#1F262A
Dark Imperial Blue	#00416A
Dark Imperial Blue	#00147E
Dark Jungle Green	#1A2421
Dark Khaki	#BDB76B
Dark Lava	#483C32
Dark Lavender	#734F96
Dark Lemon Lime	#8BBE1B
Dark Liver	#534B4F
Dark Liver (Horses)	#543D37
Dark Magenta	#8B008B
Dark Medium Gray	#A9A9A9
Dark Midnight Blue	#003366
Dark Moss Green	#4A5D23
Dark Olive Green	#556B2F
Dark Orange	#FF8C00
Dark Orchid	#9932CC
Dark Pastel Blue	#779ECB
Dark Pastel Green	#03C03C
Dark Pastel Purple	#966FD6
Dark Pastel Red	#C23B22
Dark Pink	#E75480
Dark Powder Blue	#003399
Dark Puce	#4F3A3C
Dark Purple	#301934
Dark Raspberry	#872657
Dark Red	#8B0000
Dark Salmon	#E9967A
Dark Scarlet	#560319
Dark Sea Green	#8FBC8F
Dark Sienna	#3C1414
Dark Sky Blue	#8CBED6
Dark Slate Blue	#483D8B
Dark Slate Gray	#2F4F4F
Dark Spring Green	#177245
Dark Tan	#918151
Dark Tangerine	#FFA812
Dark Taupe	#483C32
Dark Terra Cotta	#CC4E5C
Dark Turquoise	#00CED1
Dark Vanilla	#D1BEA8
Dark Violet	#9400D3
Dark Yellow	#9B870C
Dartmouth Green	#00703C
Davy's Grey	#555555
Debian Red	#D70A53
Deep Amethyst	#9C8AA4
Deep Aquamarine	#40826D
Deep Carmine	#A9203E
Deep Carmine Pink	#EF3038
Deep Carrot Orange	#E9692C
Deep Cerise	#DA3287
Deep Champagne	#FAD6A5
Deep Chestnut	#B94E48
Deep Coffee	#704241
Deep Fuchsia	#C154C1
Deep Green	#056608
Deep Green-Cyan Turquoise	#0E7C61
Deep Jungle Green	#004B49
Deep Koamaru	#333366
Deep Lemon	#F5C71A
Deep Lilac	#9955BB
Deep Magenta	#CC00CC
Deep Maroon	#820000
Deep Mauve	#D473D4
Deep Moss Green	#355E3B
Deep Peach	#FFCBA4
Deep Pink	#FF1493
Deep Puce	#A95C68
Deep Red	#850101
Deep Ruby	#843F5B
Deep Saffron	#FF9933
Deep Sky Blue	#00BFFF
Deep Space Sparkle	#4A646C
Deep Spring Bud	#556B2F
Deep Taupe	#7E5E60
Deep Tuscan Red	#66424D
Deep Violet	#330066
Deer	#BA8759
Denim	#1560BD
Denim Blue	#2243B6
Desaturated Cyan	#669999
Desert	#C19A6B
Desert Sand	#EDC9AF
Desire	#EA3C53
Diamond	#B9F2FF
Dim Gray	#696969
Dingy Dungeon	#C53151
Dirt	#9B7653
Dirty Brown	#B5651E
Dirty White	#E8E4C9
Dodger Blue	#1E90FF
Dodie Yellow	#FEF65B
Dogwood Rose	#D71868
Dollar Bill	#85BB65
Dolphin Gray	#828E84
Donkey Brown	#664C28
Drab	#967117
Duke Blue	#00009C
Dust Storm	#E5CCC9
Dutch White	#EFDFBB
Earth Yellow	#E1A95F
Ebony	#555D50
Ecru	#C2B280
Eerie Black	#1B1B1B
Eggplant	#614051
Eggshell	#F0EAD6
Egyptian Blue	#1034A6
Electric Blue	#7DF9FF
Electric Crimson	#FF003F
Electric Cyan	#00FFFF
Electric Green	#00FF00
Electric Indigo	#6F00FF
Electric Lavender	#F4BBFF
Electric Lime	#CCFF00
Electric Purple	#BF00FF
Electric Ultramarine	#3F00FF
Electric Violet	#8F00FF
Electric Yellow	#FFFF33
Emerald	#50C878
Emerald Green	#046307
Eminence	#6C3082
English Green	#1B4D3E
English Lavender	#B48395
English Red	#AB4B52
English Vermillion	#CC474B
English Violet	#563C5C
Eton Blue	#96C8A2
Eucalyptus	#44D7A8
Fallow	#C19A6B
Falu Red	#801818
Fandango	#B53389
Fandango Pink	#DE5285
Fashion Fuchsia	#F400A1
Fawn	#E5AA70
Feldgrau	#4D5D53
Feldspar	#FDD5B1
Fern Green	#4F7942
Ferrari Red	#FF2800
Field Drab	#6C541E
Fiery Rose	#FF5470
Firebrick	#B22222
Fire Engine Red	#CE2029
Fire Opal	#E95C4B
Flame	#E25822
Flamingo Pink	#FC8EAC
Flattery	#6B4423
Flavescent	#F7E98E
Flax	#EEDC82
Flesh	#FFE9D1
Flirt	#A2006D
Floral White	#FFFAF0
Fluorescent Orange	#FFBF00
Fluorescent Pink	#FF1493
Fluorescent Yellow	#CCFF00
Folly	#FF004F
Forest Green (Traditional)	#014421
Forest Green (Web)	#228B22
French Beige	#A67B5B
French Bistre	#856D4D
French Blue	#0072BB
French Fuchsia	#FD3F92
French Lilac	#86608E
French Lime	#9EFD38
French Mauve	#D473D4
French Pink	#FD6C9E
French Plum	#811453
French Puce	#4E1609
French Raspberry	#C72C48
French Rose	#F64A8A
French Sky Blue	#77B5FE
French Violet	#8806CE
French Wine	#AC1E44
Fresh Air	#A6E7FF
Frostbite	#E936A7
Fuchsia	#FF00FF
Fuchsia (Crayola)	#C154C1
Fuchsia Pink	#FF77FF
Fuchsia Purple	#CC397B
Fuchsia Rose	#C74375
Fulvous	#E48400
Fuzzy Wuzzy	#CC6666
